POINT_PATH CLOSED
64.590103149414062 46.919998168945312
38.440101623535156 12.609999656677246
98.340103149414062 25.549999237060547
87.66009521484375 132.99000549316406
94.970108032226562 151.55000305175781
115.50010681152344 140.86000061035156
166.69010925292969 124.55000305175781
155.16009521484375 134.66999816894531
226.87010192871094 143.11000061035156
212.53010559082031 145.91999816894531
246.28010559082031 166.74000549316406
273.840087890625 182.49000549316406
300.28009033203125 181.36000061035156
270.4700927734375 198.24000549316406
296.91009521484375 203.30000305175781
258.94009399414062 214.55000305175781
288.19009399414062 213.99000549316406
179.29005250767796 242.25316917821857
58.970100402832031 238.16999816894531
33.370101928710938 213.99000549316406
40.120101928710938 149.30000305175781
66.840103149414062 109.91999816894531
73.030105590820312 51.990001678466797
POINT_PATH OPEN
87.656303405761719 212.01710510253906
143.06629943847656 225.09709167480469
119.15630340576172 212.57710266113281
143.16630554199219 224.95709228515625
172.31631469726562 226.1470947265625
180.3262939453125 217.21710205078125
159.51629638671875 209.76710510253906
180.327 217.215
195.5863037109375 215.53709411621094
205.92630004882812 203.08709716796875
189.88630676269531 199.94999999999999
178.35629272460938 200.9071044921875
189.88630676269531 199.92709350585938
205.92630004882812 203.01710510253906
233.76629638671875 189.79710388183594
240.02630615234375 179.24710083007812
POINT_PATH CLOSED
27.709999084472656 24.845001220703125
3.6700000762939453 51.0050048828125
5.2100000381469727 55.785003662109375
14.279999732971191 56.915008544921875
31.440000534057617 56.485000610351562
49.790000915527344 45.665008544921875
42.200000762939453 29.06500244140625
